College Name,College Code,Location,Course,Course Code,Seat Category,Closing_Rank,Predicted_Closing_Rank
"Cambridge Institute of Technology North Campus-Kundana, Bengaluru",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,78588,68905
"Reva University-Yelahanka, Bengaluru",E164,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,44001,65628
"GITAM Deemed to be University-Dodaballapur taluk, Bengaluru",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,38125,68215
"Presidency University-Yelahanka, Bengaluru",E173,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,108990,66059
"CMR University-Bagalur-Chagalatti, Bengaluru",E187,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,103021,68991
"R V Institute of Technology and Management-J P Nagar, Bengaluru",E198,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,24673,65887
"Acharya Institute of Technology-Soladevanahalli, Bengaluru",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,109781,70285
"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",E004,CHIKAMAGALURU,AD-Artificial Intelligence & Data Science,AD,GM,96642,70199
"AMC Engineering College-Bannerghatta Rd, Bengaluru",E007,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,102932,70371
"Atria Institute of Technology-Hebbal, Bengaluru",E012,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,99556,69940
"B.N.M. Institute of Technology-Banashankari, Bengaluru",E015,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,36964,69854
"KLE Technological University Formerly known as BVBCET-Vidyanagar, Hubballi",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,42269,67008
"Bangalore Institute of Technology-V V Puram, Bengaluru",E019,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,16423,69423
"Bangalore Technological Institute-Chikkanayakanahalli Dinne, Bengaluru",E020,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,53793,69336
"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,111716,69250
"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,103197,69164
"BLDEAs V.P. Dr.P.G.Halakatti College of Engineering and Technology-Ashram Road, Vijayapura",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,91800,69681
"BMS College of Engineering-Basavanagudi, Bengaluru",E027,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,5312,69595
"BMS Institute of Technology and Management-Yelahanka, Bengaluru",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,19984,69509
"C.M.R. Institute of Technology-Brookefield, Bengaluru",E032,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,26223,69078
"Cambridge Institute of Technology-K R Puram, Bengaluru",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,110484,68819
"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,58956,68646
"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",E040,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,7819,68560
"DON BOSCO Institute of Technology-Kumbalgodu, Bengaluru",E041,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,78693,68733
"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",E042,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,82800,68474
"East Point College of Engineering and Technology-Avalahalli, Bengaluru",E046,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,86011,68388
"East West Institute of Technology-BEL Layout, Bengaluru",E048,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,88757,68302
"Garden City University-Old Madras Road, Bengaluru",E049,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,63842,67957
"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",E050,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,110697,67870
"GM Institute of Technology-P B Road, Davangere",E051,DAVANGERE,AD-Artificial Intelligence & Data Science,AD,GM,69224,68129
"Gopalan College of Engineering And Management-Whitefield, Bengaluru",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,89034,67784
"GSSS Institute of Engineering and Technology for Women-Metagalli, Mysuru",E055,MYSURU,AD-Artificial Intelligence & Data Science,AD,GM,54607,68043
"Sri Jayachamarajendra College of Engineering constituent college of JSS Science and Technology
University-Manasagangothri, Mysuru",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,7156,64766
"Jawaharlal Nehru New College of Engineering JNNCE-Swalanga Road, Shivamogga",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,46827,67353
"JSS Academy of Technical Education-Kengeri Main Road, Bengaluru",E060,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,61469,67698
JSS Science and Technology University-Mysuru,Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,15742,67612
"KLE Technological University  Formerly called as KLE Dr. M.S. Sheshgiri College of Engineering and
Technology-Udyambag, Belagavi",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,99417,67094
"K.S. Institute of Technology-Kanakapura Main Road, Bengaluru",E068,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,82138,67180
"KLS Gogte Institute of Technology-Udyambag, Belagavi",E073,BELAGAVI,AD-Artificial Intelligence & Data Science,AD,GM,65197,66922
"KLS Vishwanathrao Deshpande Institute of Technology-Dandeli Road, Haliyal",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,110111,66835
"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",E077,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,1667,66749
"Maharaja Institute of Technology-Belawadi, Mandya",E078,MANDYA,AD-Artificial Intelligence & Data Science,AD,GM,111099,66577
"Malnad College of Engineering-Rangoli Halla, Hassan",E079,HASSAN,AD-Artificial Intelligence & Data Science,AD,GM,82338,66404
"The National Institute of Engineering North Campus-Koorgalli, Mysuru",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,24347,64593
"P.E.S.College of Engineering-PES College Road, Mandya",E089,MANDYA,AD-Artificial Intelligence & Data Science,AD,GM,82113,66232
"PES Institute of Technology and Management-Kotegangoor Cost, Shivamogga",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,84099,66146
"R V College of Engineering-Mysore Road, Bengaluru",E095,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,692,65973
"Raja Rajeswari College of Engineering-Kumbalgodu, Bengaluru",E099,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,86038,65714
"RNS Institute of Technology-R R Nagar Post, Bengaluru",E104,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,42678,65801
"SJB Institute of Technology-Kengeri, Bengaluru",E107,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,108764,65369
"SSETs S.G. Balekundri Institute of Technology-Shivabasva Nagar, Belagavi",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,86752,65283
"Sahyadri College of Engineering and Management-Adyar, Mangaluru",E112,MANGALURU,AD-Artificial Intelligence & Data Science,AD,GM,100034,65197
"Sai Vidya Institute of Technology-Rajan Kunte, Bengaluru",E113,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,106788,65111
"Sapthagiri NPS University-Hesarghatta Main Road, Bengaluru",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,83561,65024
"SDM College of Engineering and Technology, Tulu Minority-Kalaghatagi, Dharwad",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,68774,65542
"Siddaganga Institute of Technology-B H Road, Tumakuru",E125,TUMAKURU,AD-Artificial Intelligence & Data Science,AD,GM,19691,64938
"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",E126,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,36563,64852
"Sri Venkateshwara College of Engineering-KIAL Road, Bengaluru",E137,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,35910,64680
"Vemana Institute of Technology-Koramangala, Bengaluru",E145,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,95627,64421
"Vidya Vikas Institute of Engineering and Technology-Alnahally, Mysuru",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,108452,64335
"Vidyavardhaka College of Engineering-Gokulam, Mysuru",E147,MYSURU,AD-Artificial Intelligence & Data Science,AD,GM,106778,64248
"Jyothy Institute of Technology-Tathguni, Bengaluru",E156,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,61663,67267
"Cambridge Institute of Technology North Campus-Kundana, Bengaluru",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,77553,68905
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,110415,70026
"GITAM Deemed to be University-Dodaballapur taluk, Bengaluru",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,32484,68215
"Presidency University-Yelahanka, Bengaluru",E173,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,108926,66059
"CMR University-Bagalur-Chagalatti, Bengaluru",E187,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,109536,68991
"Jain College of Engineering and Technology-Unkal, Hubballi",E194,HUBBALLI,AD-Artificial Intelligence & Data Science,AD,GM,91832,67525
"R V Institute of Technology and Management-J P Nagar, Bengaluru",E198,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,21189,65887
"BGS College of Engineering and Technology-Mahalaxmipuram, Bengaluru",E207,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,90133,69768
"GITAM Deemed to be University-Dodaballapur taluk, Bengaluru",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,99933,68215
"Bangalore Institute of Technology-V V Puram, Bengaluru",E019,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,30233,69423
"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",E040,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,12335,68560
"P.E.S.College of Engineering-PES College Road, Mandya",E089,MANDYA,AD-Artificial Intelligence & Data Science,AD,GM,49355,66232
"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",E126,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,73039,64852
"GITAM Deemed to be University-Dodaballapur taluk, Bengaluru",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,86220,68215
"Acharya Institute of Technology-Soladevanahalli, Bengaluru",Unknown,Unknown,"AE-
Aeronautical Engineering",AE,GM,56571,69139
"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",E040,BENGALURU,"AE-
Aeronautical Engineering",AE,GM,37450,67414
"KLS Gogte Institute of Technology-Udyambag, Belagavi",E073,BELAGAVI,"AE-
Aeronautical Engineering",AE,GM,101565,65776
"M.S. Ramaiah University of Applied Sciences-MSR Nagar, Bengaluru",E197,BENGALURU,"AE-
Aeronautical Engineering",AE,GM,61634,65517
"Reva University-Yelahanka, Bengaluru",E164,BENGALURU,"AE-
Aeronautical Engineering",AE,GM,71315,64482
"Acharya Institute of Technology-Soladevanahalli, Bengaluru",Unknown,Unknown,"AE-
Aeronautical Engineering",AE,GM,87540,69139
"Atria Institute of Technology-Hebbal, Bengaluru",E012,BENGALURU,"AE-
Aeronautical Engineering",AE,GM,110946,68794
"B.N.M. Institute of Technology-Banashankari, Bengaluru",E015,BENGALURU,"AE-
Aeronautical Engineering",AE,GM,63350,68708
"KLE Technological University Formerly known as BVBCET-Vidyanagar, Hubballi",Unknown,Unknown,"AE-
Aeronautical Engineering",AE,GM,68078,65862
"Bangalore Institute of Technology-V V Puram, Bengaluru",E019,BENGALURU,"AE-
Aeronautical Engineering",AE,GM,32635,68277
"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",Unknown,Unknown,"AE-
Aeronautical Engineering",AE,GM,101288,68104
"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",Unknown,Unknown,"AE-
Aeronautical Engineering",AE,GM,90169,68018
"BMS College of Engineering-Basavanagudi, Bengaluru",E027,BENGALURU,"AE-
Aeronautical Engineering",AE,GM,7904,68449
"BMS Institute of Technology and Management-Yelahanka, Bengaluru",Unknown,Unknown,"AE-
Aeronautical Engineering",AE,GM,29885,68363
"C.M.R. Institute of Technology-Brookefield, Bengaluru",E032,BENGALURU,"AE-
Aeronautical Engineering",AE,GM,63591,67932
"Cambridge Institute of Technology-K R Puram, Bengaluru",Unknown,Unknown,"AE-
Aeronautical Engineering",AE,GM,88739,67673
"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",Unknown,Unknown,"AE-
Aeronautical Engineering",AE,GM,108621,67500
"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",E040,BENGALURU,"AE-
Aeronautical Engineering",AE,GM,17651,67414
"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",E042,BENGALURU,"AE-
Aeronautical Engineering",AE,GM,84729,67328
"East Point College of Engineering and Technology-Avalahalli, Bengaluru",E046,BENGALURU,"AE-
Aeronautical Engineering",AE,GM,74935,67242
"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",E050,BENGALURU,"AE-
Aeronautical Engineering",AE,GM,74350,66724
"GSSS Institute of Engineering and Technology for Women-Metagalli, Mysuru",E055,MYSURU,"AE-
Aeronautical Engineering",AE,GM,102442,66897
"JSS Academy of Technical Education-Kengeri Main Road, Bengaluru",E060,BENGALURU,"AE-
Aeronautical Engineering",AE,GM,110026,66552
"KLE Technological University  Formerly called as KLE Dr. M.S. Sheshgiri College of Engineering and
Technology-Udyambag, Belagavi",Unknown,Unknown,"AE-
Aeronautical Engineering",AE,GM,109669,65948
"K.S. Institute of Technology-Kanakapura Main Road, Bengaluru",E068,BENGALURU,"AE-
Aeronautical Engineering",AE,GM,62181,66034
"KLS Gogte Institute of Technology-Udyambag, Belagavi",E073,BELAGAVI,"AE-
Aeronautical Engineering",AE,GM,79437,65776
"KLS Vishwanathrao Deshpande Institute of Technology-Dandeli Road, Haliyal",Unknown,Unknown,"AE-
Aeronautical Engineering",AE,GM,108632,65689
"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",E077,BENGALURU,"AE-
Aeronautical Engineering",AE,GM,4567,65603
"P.E.S.College of Engineering-PES College Road, Mandya",E089,MANDYA,"AE-
Aeronautical Engineering",AE,GM,82264,65086
"R V College of Engineering-Mysore Road, Bengaluru",E095,BENGALURU,"AE-
Aeronautical Engineering",AE,GM,1399,64827
"RNS Institute of Technology-R R Nagar Post, Bengaluru",E104,BENGALURU,"AE-
Aeronautical Engineering",AE,GM,68546,64655
"SJB Institute of Technology-Kengeri, Bengaluru",E107,BENGALURU,"AE-
Aeronautical Engineering",AE,GM,49351,64223
"Sapthagiri NPS University-Hesarghatta Main Road, Bengaluru",Unknown,Unknown,"AE-
Aeronautical Engineering",AE,GM,97031,63878
"SDM College of Engineering and Technology, Tulu Minority-Kalaghatagi, Dharwad",Unknown,Unknown,"AE-
Aeronautical Engineering",AE,GM,88474,64396
"SDM Institute of Technology, Tulu Minority-Ujjire, Dakshina Kannada",Unknown,Unknown,"AE-
Aeronautical Engineering",AE,GM,97963,64310
"Siddaganga Institute of Technology-B H Road, Tumakuru",E125,TUMAKURU,"AE-
Aeronautical Engineering",AE,GM,35776,63792
"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",E126,BENGALURU,"AE-
Aeronautical Engineering",AE,GM,74763,63706
"The National Institute of Engineering South Campus-Mananthavady Road, Mysuru",Unknown,Unknown,"AE-
Aeronautical Engineering",AE,GM,30072,63361
"Vidyavardhaka College of Engineering-Gokulam, Mysuru",E147,MYSURU,"AE-
Aeronautical Engineering",AE,GM,109543,63102
"Reva University-Yelahanka, Bengaluru",E164,BENGALURU,"AE-
Aeronautical Engineering",AE,GM,100240,64482
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru",Unknown,Unknown,"AE-
Aeronautical Engineering",AE,GM,85976,68880
"GITAM Deemed to be University-Dodaballapur taluk, Bengaluru",Unknown,Unknown,"AE-
Aeronautical Engineering",AE,GM,75265,67069
"CMR University-Bagalur-Chagalatti, Bengaluru",E187,BENGALURU,"AE-
Aeronautical Engineering",AE,GM,69337,67845
