physics_score,chemistry_score,math_score,total_score,rank
41.11,38.57,40.01,119.69,248
40.15,43.28,37.13,120.55,249
35.99,44.72,37.92,118.63,250
41.14,35.69,45.38,122.21,251
44.84,33.25,40.29,118.38,252
32.67,26.83,60.0,119.5,253
43.06,55.52,21.48,120.05,254
36.88,38.47,45.9,121.26,255
40.65,50.51,29.33,120.5,256
24.99,44.21,49.08,118.27,257
31.56,43.32,45.93,120.82,258
26.2,54.33,40.04,120.57,259
33.46,28.11,58.65,120.23,260
53.93,36.38,29.57,119.88,261
40.88,40.82,38.76,120.46,262
35.94,45.74,38.54,120.23,263
56.19,33.03,30.6,119.82,264
40.51,54.21,26.79,121.51,265
37.65,34.63,48.47,120.76,266
35.59,43.05,39.44,118.09,267
35.11,43.09,40.36,118.56,268
41.19,37.91,42.12,121.23,269
42.87,45.77,32.4,121.04,270
45.33,37.97,38.1,121.4,271
43.04,33.52,43.14,119.71,272
47.78,31.94,40.16,119.88,273
51.63,36.69,31.01,119.33,274
30.13,60.0,30.38,120.51,275
54.05,41.92,22.32,118.29,276
45.09,34.58,42.43,122.11,277
32.04,31.26,55.19,118.48,278
35.79,44.1,38.18,118.07,279
29.44,49.29,38.28,117.01,280
24.09,41.76,52.3,118.15,281
60.0,26.83,33.21,120.04,282
35.47,40.34,42.94,118.75,283
29.65,43.01,46.03,118.69,284
51.97,33.62,34.39,119.97,285
45.6,33.2,40.36,119.16,286
30.62,47.51,38.75,116.89,287
49.89,49.29,19.64,118.82,288
53.14,34.09,32.0,119.24,289
26.98,31.41,60.0,118.38,290
38.24,40.27,38.98,117.5,291
47.55,31.78,39.14,118.47,292
37.35,35.45,43.76,116.56,293
25.85,31.64,59.57,117.06,294
35.36,42.56,40.63,118.56,295
49.14,37.49,32.21,118.85,296
34.65,39.56,44.48,118.7,297
34.64,57.12,28.33,120.09,298
40.86,32.29,44.75,117.89,299
35.61,50.73,30.3,116.64,300
47.47,21.9,50.35,119.72,301
35.99,52.55,30.4,118.94,302
47.47,38.62,31.01,117.1,303
53.61,21.33,42.07,117.02,304
28.62,43.64,44.16,116.42,305
23.82,48.78,46.36,118.96,306
45.19,34.06,38.31,117.56,307
31.89,35.55,50.87,118.32,308
40.3,37.62,38.88,116.8,309
28.2,45.5,46.47,120.17,310
35.84,45.41,37.4,118.65,311
20.96,43.93,54.01,118.91,312
49.03,33.14,35.72,117.9,313
44.85,35.13,34.48,114.46,314
40.83,32.18,41.97,114.98,315
28.65,41.12,49.76,119.53,316
49.73,39.87,29.58,119.18,317
31.43,43.02,43.82,118.27,318
35.39,46.15,36.09,117.63,319
33.97,35.27,46.05,115.29,320
36.06,39.24,41.58,116.87,321
48.3,38.22,32.25,118.78,322
42.84,42.2,33.01,118.04,323
42.89,46.98,29.56,119.44,324
36.61,36.24,43.87,116.72,325
52.94,33.1,32.27,118.32,326
45.35,34.61,35.64,115.6,327
50.74,36.76,29.83,117.33,328
36.3,40.94,42.1,119.34,329
21.17,58.15,38.21,117.53,330
39.48,45.01,32.29,116.78,331
38.51,39.74,38.93,117.18,332
29.05,48.08,41.32,118.44,333
43.0,40.62,32.95,116.58,334
20.61,50.76,46.17,117.53,335
39.05,37.88,38.48,115.41,336
31.11,54.37,32.39,117.86,337
34.93,42.68,40.31,117.93,338
53.98,33.04,27.73,114.76,339
40.52,41.8,33.36,115.68,340
44.46,36.81,36.79,118.06,341
32.43,31.7,51.49,115.62,342
26.92,47.96,42.2,117.08,343
50.21,26.02,38.6,114.83,344
35.26,35.02,46.88,117.16,345
30.43,42.76,43.85,117.04,346
50.69,28.49,39.41,118.58,347
40.94,36.01,38.88,115.83,348
30.16,40.86,45.34,116.36,349
42.39,49.28,26.35,118.02,350
37.7,33.37,44.54,115.6,351
35.65,47.78,32.4,115.83,352
31.21,42.16,43.4,116.78,353
45.36,37.74,32.3,115.4,354
50.21,38.78,26.13,115.12,355
34.13,29.27,50.97,114.36,356
54.77,14.44,48.1,117.31,357
41.48,41.15,33.96,116.59,358
34.38,43.33,37.18,114.88,359
44.77,19.62,52.04,116.42,360
45.45,42.16,28.37,115.99,361
38.6,32.62,46.33,117.55,362
41.93,41.52,32.57,116.02,363
43.14,50.49,22.36,115.99,364
58.54,30.38,28.45,117.36,365
37.28,39.89,38.32,115.5,366
57.75,36.95,22.36,117.06,367
39.56,31.49,44.6,115.65,368
45.01,50.72,20.44,116.17,369
47.88,47.43,20.19,115.49,370
45.89,29.63,42.57,118.09,371
32.26,34.29,47.67,114.22,372
47.56,36.28,32.34,116.17,373
38.64,57.52,18.1,114.25,374
48.34,26.89,40.3,115.53,375
34.65,48.88,32.55,116.07,376
37.49,27.22,51.94,116.65,377
32.83,50.05,29.84,112.72,378
51.74,25.83,35.47,113.04,379
31.43,50.81,33.17,115.41,380
50.25,29.67,35.76,115.67,381
40.84,37.6,37.25,115.69,382
22.12,43.81,52.48,118.41,383
47.06,34.42,33.19,114.67,384
30.71,47.48,39.51,117.71,385
32.59,45.17,38.18,115.95,386
24.52,49.66,41.07,115.24,387
31.82,42.07,41.82,115.72,388
41.06,40.28,32.13,113.47,389
45.3,29.22,41.52,116.04,390
41.07,45.83,27.44,114.34,391
48.79,39.46,27.07,115.32,392
32.0,36.21,46.16,114.37,393
48.65,34.15,30.74,113.54,394
27.32,43.73,44.64,115.69,395
36.33,27.35,51.43,115.12,396
37.24,43.71,34.16,115.11,397
26.47,47.24,40.08,113.79,398
42.33,41.26,31.03,114.62,399
37.92,37.18,39.48,114.58,400
53.16,33.15,27.28,113.59,401
43.42,33.74,39.32,116.47,402
45.92,33.17,35.06,114.14,403
31.8,48.52,33.15,113.46,404
48.66,37.22,29.62,115.5,405
41.69,32.1,38.53,112.32,406
45.06,41.81,26.91,113.78,407
39.79,31.7,42.09,113.57,408
44.83,24.73,43.84,113.4,409
26.01,46.93,39.23,112.16,410
29.63,43.87,40.44,113.94,411
31.68,31.9,50.76,114.35,412
20.69,60.0,33.42,114.11,413
31.01,58.09,22.87,111.98,414
25.98,49.27,41.14,116.4,415
51.95,19.1,42.59,113.64,416
45.52,30.03,37.04,112.6,417
45.52,41.42,27.22,114.16,418
43.57,29.37,40.17,113.11,419
33.63,43.27,36.45,113.35,420
48.25,30.4,34.16,112.81,421
32.16,33.05,46.64,111.85,422
33.25,43.7,34.86,111.81,423
19.55,52.36,40.74,112.64,424
29.69,38.2,42.42,110.32,425
51.97,36.42,25.45,113.84,426
41.55,32.99,37.97,112.51,427
40.73,45.67,24.62,111.02,428
36.1,39.49,39.32,114.91,429
36.78,42.46,34.44,113.68,430
46.61,32.67,33.59,112.87,431
54.23,33.46,24.39,112.08,432
41.23,38.09,36.1,115.42,433
47.76,27.58,36.22,111.56,434
32.81,33.61,45.25,111.67,435
45.12,38.17,31.22,114.51,436
29.4,42.4,41.32,113.12,437
28.06,35.51,48.67,112.23,438
43.29,32.78,34.94,111.01,439
29.48,43.19,40.28,112.94,440
34.69,50.27,28.79,113.75,441
36.93,41.08,36.21,114.22,442
31.53,29.56,52.25,113.34,443
38.73,36.25,36.98,111.95,444
39.22,26.24,47.39,112.86,445
41.2,30.34,39.48,111.02,446
40.77,35.31,36.36,112.43,447
40.76,37.7,34.85,113.32,448
32.45,41.03,42.51,116.0,449
32.59,37.14,43.56,113.29,450
33.69,34.57,44.58,112.84,451
39.24,25.5,46.81,111.55,452
50.17,26.68,35.33,112.18,453
26.18,33.53,51.66,111.37,454
33.27,35.3,41.44,110.0,455
27.61,43.02,39.5,110.13,456
41.4,29.55,41.3,112.25,457
22.75,53.69,32.63,109.07,458
26.66,50.46,35.03,112.15,459
35.54,44.98,31.41,111.93,460
24.58,45.85,41.85,112.28,461
47.89,27.62,37.1,112.62,462
47.21,28.91,35.56,111.67,463
34.57,32.31,44.96,111.84,464
36.61,30.82,44.7,112.13,465
44.74,28.6,37.3,110.64,466
29.48,42.77,37.74,110.0,467
27.66,41.79,43.58,113.03,468
38.6,34.97,37.96,111.53,469
39.71,30.27,41.53,111.52,470
47.46,27.21,37.48,112.16,471
37.39,40.36,33.61,111.37,472
32.86,40.1,38.64,111.6,473
37.83,26.17,48.41,112.41,474
31.42,44.06,36.85,112.33,475
29.6,29.26,50.99,109.86,476
40.28,44.6,26.15,111.03,477
31.67,33.61,44.94,110.22,478
35.21,30.42,46.11,111.74,479
33.63,39.14,36.6,109.38,480
45.96,39.86,27.47,113.29,481
50.4,29.92,31.41,111.72,482
21.7,47.44,43.44,112.58,483
37.17,33.83,38.77,109.77,484
47.26,30.51,32.59,110.36,485
34.84,39.68,37.44,111.96,486
36.35,33.09,41.45,110.89,487
44.52,31.87,33.2,109.59,488
37.71,45.52,28.25,111.49,489
34.65,43.84,33.39,111.88,490
34.63,31.19,44.16,109.98,491
36.86,40.4,34.2,111.45,492
49.35,34.45,25.7,109.5,493
31.8,52.44,25.66,109.9,494
30.22,40.08,39.55,109.85,495
34.62,42.25,34.19,111.07,496
40.79,23.56,45.45,109.8,497
53.64,13.66,42.21,109.51,498
28.51,26.58,54.3,109.39,499
33.8,41.58,33.17,108.55,500
57.46,24.92,27.32,109.71,501
28.93,38.8,42.48,110.2,502
27.98,35.38,45.63,108.99,503
39.77,35.41,34.58,109.76,504
32.55,42.67,35.85,111.07,505
40.34,39.66,30.76,110.76,506
33.66,41.12,34.68,109.46,507
23.23,41.34,44.83,109.39,508
31.74,43.86,36.17,111.77,509
43.63,43.58,22.29,109.5,510
34.75,48.26,26.8,109.8,511
34.3,39.09,37.17,110.56,512
27.53,43.19,37.95,108.67,513
35.52,24.41,50.37,110.29,514
37.9,50.36,19.26,107.52,515
37.57,29.05,44.0,110.63,516
25.69,40.43,42.76,108.87,517
37.59,39.67,34.08,111.35,518
52.84,25.7,32.15,110.7,519
26.85,41.06,41.64,109.55,520
51.22,37.07,22.54,110.83,521
31.83,34.19,43.65,109.66,522
5.62,49.68,52.86,108.15,523
20.1,48.07,43.3,111.46,524
26.04,36.52,48.18,110.74,525
48.35,27.83,33.3,109.47,526
54.71,35.27,19.96,109.94,527
29.49,50.69,29.61,109.79,528
32.05,24.56,51.87,108.48,529
15.99,36.55,58.28,110.82,530
29.06,39.32,41.56,109.93,531
41.14,29.57,37.3,108.02,532
28.77,33.16,46.7,108.62,533
49.23,14.41,43.57,107.21,534
46.7,39.66,21.99,108.34,535
37.39,35.55,36.54,109.48,536
15.06,56.18,38.22,109.47,537
32.85,44.64,31.92,109.41,538
34.52,41.7,30.43,106.65,539
28.46,41.72,39.14,109.33,540
36.88,30.32,40.65,107.85,541
46.3,32.52,30.85,109.67,542
38.92,24.0,46.42,109.34,543
24.98,35.05,48.58,108.62,544
33.56,45.97,30.51,110.04,545
25.59,41.99,40.53,108.1,546
30.12,41.31,36.85,108.28,547
42.03,35.6,29.76,107.38,548
47.08,40.28,21.07,108.43,549
37.02,20.59,50.58,108.19,550
31.37,40.46,36.1,107.93,551
37.77,38.81,32.82,109.4,552
36.44,28.95,45.87,111.25,553
45.02,26.94,37.4,109.37,554
35.21,38.68,33.34,107.22,555
25.34,37.12,45.3,107.77,556
32.91,60.0,13.48,106.38,557
29.49,41.57,35.67,106.74,558
34.53,30.58,42.91,108.02,559
23.03,40.84,44.95,108.81,560
27.18,38.34,42.67,108.19,561
25.41,35.94,45.34,106.7,562
24.93,43.51,38.23,106.67,563
31.54,22.74,54.04,108.31,564
46.9,33.62,27.83,108.36,565
44.22,33.72,30.38,108.31,566
28.33,32.92,46.92,108.16,567
34.32,46.44,26.9,107.67,568
30.39,36.75,40.76,107.9,569
38.5,30.21,39.53,108.23,570
40.58,44.16,21.81,106.55,571
27.28,25.78,52.42,105.48,572
20.24,40.87,47.81,108.93,573
23.7,51.92,33.84,109.46,574
60.0,20.78,27.23,108.01,575
31.28,32.96,41.37,105.61,576
32.07,35.71,43.32,111.11,577
28.36,35.34,42.09,105.8,578
54.06,20.8,31.42,106.28,579
42.33,27.59,38.89,108.81,580
42.96,25.81,37.78,106.55,581
37.95,34.91,33.14,106.01,582
38.39,39.23,29.44,107.06,583
27.25,49.49,31.35,108.09,584
30.71,42.45,34.96,108.11,585
46.94,27.4,33.38,107.72,586
29.68,37.07,39.63,106.38,587
27.3,46.6,33.69,107.58,588
41.72,31.06,32.74,105.52,589
36.17,31.04,39.75,106.95,590
47.74,23.95,35.75,107.44,591
29.06,38.9,36.58,104.55,592
28.68,36.32,41.79,106.78,593
35.84,17.31,52.97,106.12,594
30.69,32.73,41.45,104.87,595
34.94,35.69,36.75,107.37,596
42.55,33.22,30.88,106.65,597
39.76,39.95,25.66,105.37,598
36.09,42.11,28.44,106.64,599
36.61,39.8,29.38,105.79,600
39.95,48.91,17.45,106.32,601
29.46,41.55,34.61,105.62,602
29.59,24.79,50.82,105.2,603
37.78,39.84,28.83,106.46,604
41.72,28.45,35.11,105.28,605
11.62,54.39,41.39,107.4,606
38.81,46.61,20.83,106.25,607
32.15,36.97,37.33,106.45,608
42.19,28.54,34.52,105.24,609
38.98,29.86,36.62,105.46,610
47.01,31.94,27.44,106.38,611
26.36,43.15,37.16,106.67,612
33.33,39.63,35.44,108.39,613
43.07,18.37,44.98,106.42,614
32.98,27.71,43.69,104.38,615
36.7,24.27,45.95,106.92,616
27.87,40.26,37.73,105.86,617
29.41,31.53,46.31,107.25,618
43.2,32.17,29.44,104.82,619
42.52,27.93,36.39,106.84,620
27.9,41.0,35.4,104.3,621
36.72,49.0,19.91,105.63,622
48.47,14.29,42.84,105.59,623
33.28,37.99,35.95,107.22,624
31.53,26.93,45.44,103.9,625
33.58,42.08,31.05,106.71,626
28.54,40.56,37.85,106.95,627
22.01,34.47,49.08,105.55,628
34.86,31.57,37.62,104.06,629
47.77,39.32,17.75,104.83,630
56.33,28.87,19.96,105.16,631
44.39,22.48,37.7,104.57,632
40.37,40.2,26.78,107.34,633
30.64,33.65,38.77,103.05,634
27.85,35.76,42.3,105.9,635
30.23,40.88,34.39,105.5,636
31.85,40.58,30.27,102.7,637
50.83,33.65,19.84,104.31,638
30.12,38.12,37.91,106.14,639
34.29,34.65,37.09,106.03,640
25.86,34.48,43.5,103.83,641
16.45,42.67,46.35,105.48,642
43.39,32.08,28.06,103.53,643
36.35,26.65,41.77,104.77,644
43.54,29.64,30.62,103.81,645
40.74,40.66,23.75,105.15,646
33.25,29.85,40.78,103.88,647
23.84,34.7,45.58,104.11,648
22.95,42.08,38.77,103.8,649
48.87,32.2,22.17,103.24,650
25.73,41.67,36.95,104.35,651
30.03,41.66,33.07,104.76,652
20.16,43.69,40.62,104.46,653
46.35,51.36,7.07,104.77,654
36.67,35.7,32.42,104.79,655
28.55,38.82,35.64,103.01,656
49.78,30.43,23.66,103.87,657
39.02,45.37,19.85,104.24,658
32.99,48.99,23.34,105.32,659
53.9,26.43,25.54,105.87,660
38.64,34.27,32.88,105.8,661
40.12,36.5,27.73,104.34,662
13.43,41.63,48.36,103.43,663
43.9,35.06,26.94,105.9,664
25.63,41.06,37.06,103.75,665
42.49,31.23,30.44,104.16,666
18.39,32.87,53.08,104.34,667
20.6,31.07,53.49,105.17,668
30.87,35.83,38.18,104.88,669
35.46,36.31,31.15,102.93,670
26.38,29.14,49.23,104.75,671
37.8,36.27,28.79,102.86,672
9.5,45.17,48.95,103.62,673
46.66,26.93,29.26,102.85,674
33.23,30.62,39.09,102.93,675
33.36,37.33,34.0,104.69,676
23.57,34.98,45.71,104.27,677
14.89,43.37,46.75,105.01,678
21.99,31.95,49.91,103.85,679
30.7,39.79,34.45,104.94,680
29.45,27.66,46.06,103.17,681
24.95,37.39,41.57,103.92,682
31.82,36.24,36.38,104.45,683
31.31,39.25,33.4,103.96,684
37.01,36.69,29.89,103.59,685
42.02,34.1,28.45,104.57,686
38.66,34.31,30.74,103.71,687
31.49,24.32,48.23,104.03,688
32.06,35.19,36.72,103.97,689
31.4,27.84,43.9,103.13,690
21.69,33.05,47.51,102.25,691
41.23,29.09,34.05,104.38,692
37.11,40.46,25.84,103.41,693
30.52,36.84,34.95,102.32,694
33.3,46.98,23.56,103.84,695
33.85,29.62,41.14,104.61,696
32.42,31.74,38.12,102.29,697
38.38,36.73,28.02,103.13,698
28.72,41.11,33.33,103.16,699
25.95,38.31,37.89,102.15,700
24.86,30.79,48.18,103.83,701
27.75,52.66,24.71,105.13,702
40.73,28.87,33.45,103.05,703
34.98,40.77,26.96,102.71,704
30.77,42.82,28.29,101.88,705
29.76,39.11,35.41,104.27,706
42.32,27.83,30.9,101.06,707
32.01,44.55,26.89,103.45,708
48.95,29.71,25.72,104.37,709
47.79,19.77,35.35,102.91,710
47.62,43.05,11.18,101.84,711
40.63,32.94,29.96,103.53,712
36.48,35.72,31.55,103.75,713
33.32,38.82,29.74,101.88,714
35.74,36.41,30.31,102.45,715
29.21,45.1,27.69,102.0,716
33.31,31.05,37.29,101.65,717
30.58,36.25,35.22,102.06,718
31.83,26.69,43.61,102.13,719
38.37,32.73,30.33,101.43,720
30.7,42.12,27.44,100.26,721
45.3,30.46,24.86,100.62,722
37.07,18.3,46.65,102.02,723
36.89,25.17,40.91,102.97,724
32.96,38.0,32.23,103.19,725
25.92,42.52,33.44,101.87,726
31.35,31.74,40.37,103.46,727
43.68,15.02,43.32,102.02,728
50.86,20.06,30.21,101.13,729
30.92,46.03,24.71,101.66,730
25.12,29.46,47.37,101.95,731
26.36,41.69,32.94,100.99,732
54.7,36.66,9.17,100.53,733
41.02,38.92,23.78,103.72,734
35.52,30.97,33.74,100.23,735
27.53,34.42,40.81,102.76,736
43.77,30.08,27.53,101.37,737
32.2,22.22,47.21,101.63,738
31.56,33.22,34.36,99.14,739
24.27,42.86,35.04,102.17,740
20.38,31.63,50.55,102.56,741
35.29,33.2,30.31,98.79,742
29.74,28.97,42.19,100.9,743
37.4,36.1,26.95,100.45,744
38.91,37.89,26.13,102.93,745
35.62,27.98,37.26,100.86,746
37.33,21.48,41.24,100.04,747
32.93,24.68,43.22,100.83,748
32.0,46.14,24.14,102.28,749
34.54,35.53,31.87,101.94,750
16.97,49.42,35.32,101.72,751
35.38,39.5,25.85,100.73,752
35.83,25.93,38.23,99.99,753
25.35,29.8,46.13,101.29,754
37.38,41.45,23.3,102.13,755
33.32,38.96,29.19,101.46,756
33.39,45.29,25.2,103.88,757
29.12,26.97,45.39,101.49,758
25.91,38.66,37.19,101.76,759
35.36,31.85,33.71,100.92,760
37.68,27.73,36.29,101.7,761
43.48,34.62,23.42,101.53,762
32.75,13.04,56.49,102.28,763
37.29,36.21,26.87,100.37,764
35.42,31.17,33.71,100.3,765
26.31,34.65,38.85,99.81,766
32.15,35.85,34.39,102.39,767
43.13,27.14,30.09,100.36,768
29.13,28.78,43.22,101.13,769
23.91,49.75,28.21,101.87,770
35.13,24.21,41.04,100.38,771
26.85,38.06,36.18,101.09,772
26.65,40.9,32.85,100.4,773
34.71,39.38,27.47,101.56,774
23.02,46.99,31.08,101.09,775
